,07-Nov-2018
The Nifty witnessed an intraday movement of about 34.15 points.The closing index was 0.65 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 3961.46
, Traded Quantity (in Lakhs), 3103.42
, Number of Trades, 1922662
, Total Market Capitalisation (Rs. Crores), 13993285.22

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CONTROLPR,EQ,       347.20,                   236654.95,682
,CORALFINAC,EQ,        14.65,                    76041.65,5213
,CORDSCABLE,EQ,        66.70,                   478869.10,7251
,COROMANDEL,EQ,       423.00,                  2393022.30,5656
,CORPBANK,EQ,        27.10,                   997059.20,36670
,COSMOFILMS,EQ,       261.70,                  3560856.00,13626
,COUNCODOS,EQ,         2.65,                    45724.30,17330
,COX&KINGS,BE,       197.00,                  2149285.45,10920
,CPSEETF,EQ,        25.17,                  2124568.11,84650
,CREDITACC,EQ,       338.90,                  5925260.25,17463
,CREST,EQ,       151.10,                  1071291.50,7050
,CRISIL,EQ,      1532.70,                  8045695.20,5255
,CRMFGETF,EQ,      2950.00,                     2950.00,1
,CROMPTON,EQ,       215.25,                 11188484.25,51926
,CTE,EQ,        46.10,                    57855.25,1225
,CUB,EQ,       166.90,                  9092310.15,54794
,CUMMINSIND,EQ,       778.65,                 33926819.65,43526
,CUPID,EQ,       167.70,                  4305725.55,25894
,CYBERTECH,EQ,        45.80,                   401887.60,8705
,CYIENT,EQ,       625.95,                 10583374.70,16927
,DAAWAT,EQ,        44.70,                 15820375.80,352908
,DALMIABHA,EQ,      2186.95,                  6093741.90,2788
,DALMIASUG,EQ,        91.65,                  3407628.25,37166
,DAMODARIND,EQ,        49.65,                    13846.50,279
,DANGEE,SM,       209.40,                  1341600.00,6400
,DATAMATICS,EQ,       115.10,                  1403220.65,12196
,DBCORP,EQ,       169.40,                   913778.45,5408
,DBL,EQ,       418.10,                 28120425.45,67385
,DBREALTY,EQ,        22.90,                  1433896.95,62643
,DCAL,EQ,       226.05,                  3752673.90,16583
,DCBBANK,EQ,       166.45,                 49958221.30,300028
,DCM,EQ,        76.50,                   103544.45,1353
,DCMSHRIRAM,EQ,       400.30,                  5260424.80,13111
,DCW,EQ,        20.70,                  2349038.05,113554
,DECCANCE,EQ,       377.05,                   125080.80,332
,DEEPAKFERT,EQ,       212.70,                  4133955.20,19367
,DEEPAKNTR,EQ,       279.10,                 52006804.15,186126
,DEEPIND,EQ,       116.60,                  1750927.05,14982
,DELTACORP,EQ,       246.35,                 65386521.05,265092
,DELTAMAGNT,BE,        81.00,                    55375.00,710
,DEN,EQ,        68.75,                   515501.25,7482
,DENABANK,EQ,        17.15,                  6038664.40,352200
,DENORA,EQ,       266.50,                   537303.10,2018
,DFMFOODS,EQ,       269.00,                   588250.25,2204
,DHAMPURSUG,EQ,       155.50,                 23112793.35,148615
,DHANBANK,EQ,        18.45,                 15086152.95,819939
,DHANUKA,EQ,       400.75,                  1868163.50,4685
,DHARSUGAR,EQ,        14.60,                    17362.40,1189
,DHFL,EQ,       230.50,                539998862.45,2337674
,DHFL,NC,       900.46,                   117060.00,130
,DHFL,NS,       880.00,                     8800.00,10
,DHFL,NP,       901.01,                    58715.15,65
,DHFL,N8,       979.00,                     6853.00,7
,DHFL,NA,       870.00,                      870.00,1
,DHUNINV,EQ,       307.15,                    38554.15,128
,DIAMONDYD,EQ,      1003.65,                  2262424.60,2241
,DIAPOWER,BZ,         1.40,                     4071.20,2908
,DICIND,EQ,       372.20,                   122620.60,329
,DIGJAMLTD,EQ,         5.00,                   185689.80,37080
,DISHTV,EQ,        42.75,                 20994475.75,492316
,DIVISLAB,EQ,      1497.50,                207168047.35,138777
,DIXON,EQ,      2136.25,                  9230043.50,4281
,DLINKINDIA,EQ,        81.70,                   731250.40,8957
,DNAMEDIA,EQ,         4.20,                    30289.90,7298
,DOLLAR,EQ,       298.00,                   298989.85,1003
,DOLPHINOFF,EQ,        50.35,                   611455.15,12185
,DONEAR,EQ,        38.30,                   730433.25,19120
,DPABHUSHAN,SM,        43.50,                   174000.00,4000
,DPL,EQ,       108.65,                   638166.50,5880
