,14-Nov-2018
The Nifty witnessed an intraday movement of about 118.9 points.The closing index was 0.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35973.53
, Traded Quantity (in Lakhs), 15719.49
, Number of Trades, 13249324
, Total Market Capitalisation (Rs. Crores), 13967890.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BCG,EQ,         2.95,                  2423199.70,810640
,BCONCEPTS,SM,        34.50,                   103500.00,3000
,BDL,EQ,       283.85,                  3208011.45,11247
,BEARDSELL,EQ,        23.95,                   136483.95,5685
,BEDMUTHA,BE,        19.00,                    88557.75,4640
,BEML,EQ,       709.30,                632689245.25,888417
,BEPL,EQ,        83.15,                 22699422.75,270855
,BERGEPAINT,EQ,       320.25,                871258171.75,2695172
,BETA,SM,        80.00,                    64000.00,800
,BFINVEST,EQ,       262.25,                 38902915.40,146907
,BFUTILITIE,EQ,       219.75,                 65198255.65,295224
,BGLOBAL,BE,         2.60,                    35904.55,13967
,BGRENERGY,EQ,        64.45,                  9445692.55,144363
,BHAGERIA,EQ,       302.45,                  4162154.50,13622
,BHAGYANGR,EQ,        31.15,                    74662.85,2348
,BHAGYAPROP,EQ,        25.65,                    81805.20,3166
,BHANDARI,EQ,         2.20,                  3213495.55,1328539
,BHARATFIN,EQ,       942.15,                797380372.95,849436
,BHARATFORG,EQ,       584.80,                604484055.70,1023074
,BHARATGEAR,EQ,       168.50,                  2144954.65,12650
,BHARATIDIL,BZ,         3.30,                    12570.10,3789
,BHARATRAS,EQ,      5988.40,                 14474655.70,2446
,BHARATWIRE,EQ,        71.80,                   526013.35,7330
,BHUSANSTL,EQ,        27.85,                 11358952.30,405421
,BIGBLOC,EQ,        47.95,                  1344626.45,27789
,BIL,EQ,       274.25,                  2369862.90,8672
,BILENERGY,EQ,          .50,                    13758.75,28201
,BINANIIND,EQ,        83.90,                 41345562.80,470947
,BINDALAGRO,EQ,        17.85,                   257635.90,14288
,BIOFILCHEM,BE,         8.85,                    42960.15,4960
,BIRLACABLE,EQ,       200.55,                 14130151.35,70457
,BIRLACORPN,EQ,       614.15,                  6923471.35,11245
,BIRLAMONEY,EQ,        47.85,                  1994568.40,41686
,BKMINDST,EQ,        10.65,                   115261.35,10806
,BLBLIMITED,EQ,         5.30,                   406920.45,76764
,BLISSGVS,EQ,       171.30,                 14210843.05,82830
,BLKASHYAP,EQ,        23.60,                   775538.70,32617
,BLS,EQ,       127.75,                 19880322.45,155484
,BLUEBLENDS,EQ,         3.70,                    51974.10,14472
,BLUEDART,EQ,      2968.30,                  6777093.70,2298
,BLUEDART,N3,        10.06,                       60.36,6
,BLUESTARCO,EQ,       576.40,                  5161825.60,8961
,BODALCHEM,EQ,       121.95,                  9327984.50,76094
,BOHRA,SM,        25.00,                   298000.00,12000
,BOMDYEING,EQ,       123.05,               1047254547.75,8312739
,BOROSIL,EQ,       249.10,                 16465697.20,65350
,BPL,EQ,        40.60,                  5529752.00,135795
,BRFL,EQ,        14.20,                  1238519.30,86423
,BRIGADE,EQ,       180.75,                 17968212.20,99760
,BRIGHT,SM,        38.55,                   786150.00,21000
,BRNL,EQ,        89.40,                  2047005.65,22519
,BROOKS,EQ,        66.25,                  1909163.65,28610
,BSE,EQ,       618.20,                 22305750.60,36028
,BSELINFRA,EQ,         2.60,                    54630.00,20904
,BSHSL,SM,       130.00,                  2759300.00,22000
,BSL,EQ,        48.35,                   530111.75,10977
,BSLGOLDETF,EQ,      2883.00,                    11714.90,4
,BSLNIFTY,EQ,       110.51,                     1395.02,12
,BURNPUR,EQ,         4.10,                   190915.85,46358
,BUTTERFLY,EQ,       252.30,                  1398529.55,5467
,BVCL,BE,        15.60,                      202.80,13
,BYKE,EQ,        73.35,                  2305854.10,31180
,CADSYS,SM,        58.00,                   116000.00,2000
,CALSOFT,EQ,        38.85,                  1244522.50,31244
,CAMLINFINE,EQ,        56.80,                 16460867.95,287849
,CANBK,EQ,       252.65,               2623099134.00,10419931
,CANDC,EQ,        26.40,                  1197545.50,44585
,CANFINHOME,EQ,       278.30,                116588384.40,416738
,CANTABIL,EQ,       129.40,                  2779863.75,21217
,CAPACITE,EQ,       218.95,                 14382790.80,64556
,CAPF,EQ,       482.60,                269343035.15,558002
,CAPLIPOINT,EQ,       428.45,                  5346336.40,12384
