,15-Nov-2018
The Nifty witnessed an intraday movement of about 89 points.The closing index was 0.38 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31607.69
, Traded Quantity (in Lakhs), 14482.03
, Number of Trades, 11866468
, Total Market Capitalisation (Rs. Crores), 14002885.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,DEEPAKFERT,EQ,       182.10,                 73000667.65,392748
,DEEPAKNTR,EQ,       265.05,                107119232.80,404656
,DEEPIND,EQ,       139.10,                122772437.30,921517
,DELTACORP,EQ,       238.90,                147677442.65,615983
,DELTAMAGNT,BE,        93.00,                   248972.50,2748
,DEN,EQ,        69.10,                  3464931.65,50087
,DENABANK,EQ,        16.75,                 13194454.90,789839
,DENORA,EQ,       247.65,                   495797.35,1985
,DEVIT,SM,        70.50,                   850950.00,12000
,DFMFOODS,EQ,       247.60,                   136311.35,551
,DHAMPURSUG,EQ,       169.25,                 81121322.65,477943
,DHANBANK,BE,        16.55,                 12977097.70,800912
,DHANUKA,EQ,       420.45,                 40716734.40,95022
,DHARSUGAR,EQ,        13.85,                   271805.10,19242
