,17-Dec-2019
The Nifty witnessed an intraday movement of about 112.4 points.The closing index was 0.92 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36198.08
, Traded Quantity (in Lakhs), 18283.74
, Number of Trades, 11933482
, Total Market Capitalisation (Rs. Crores), 15285665.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CREATIVE,BE,        86.30,                  1793689.65,20487
,CREATIVEYE,EQ,         1.35,                     2380.05,1763
,CREDITACC,EQ,       796.65,                 55206291.05,69116
,CREST,EQ,        92.05,                   359809.20,3904
,CRISIL,EQ,      1778.75,                 35987881.40,20540
,CROMPTON,EQ,       242.95,                554822195.80,2280256
,CROWN,SM,        39.75,                    39750.00,1000
,CSBBANK,EQ,       245.65,                419329795.45,1704620
,CTE,EQ,        23.00,                    83603.90,3618
,CUB,EQ,       229.20,                417868758.05,1819603
,CUBEXTUB,EQ,        10.85,                    74232.10,6860
,CUMMINSIND,EQ,       562.05,                515359748.80,928497
,CUPID,EQ,       199.05,                  8512907.75,42890
,CURATECH,BE,         1.80,                      106.20,59
,CYBERMEDIA,BE,         3.00,                      150.00,50
,CYBERTECH,EQ,        46.45,                  2599158.65,56110
,CYIENT,EQ,       393.75,                 20085809.30,51153
,DAAWAT,EQ,        21.70,                 17404613.50,791379
,DALBHARAT,EQ,       828.80,                 69321116.70,84452
,DALMIASUG,EQ,        83.70,                  7459728.70,88554
,DAMODARIND,EQ,        25.75,                    45132.50,1797
,DATAMATICS,EQ,        69.40,                  2309548.75,33067
,DBCORP,EQ,       133.70,                  1906744.15,14246
,DBL,EQ,       394.85,                 45470443.85,114114
,DBREALTY,BE,        10.20,                   239955.00,23525
,DBSTOCKBRO,EQ,         8.55,                    19502.75,2285
,DCAL,EQ,       123.10,                 12735997.85,102387
,DCBBANK,EQ,       171.45,                119833692.10,699646
,DCM,EQ,        19.60,                   110136.70,5525
,DCMFINSERV,EQ,          .85,                       85.00,100
,DCMNVL,EQ,        30.70,                   157038.65,4957
,DCMSHRIRAM,EQ,       354.85,                 57729530.15,165601
,DCW,EQ,        13.20,                  2332974.60,178035
,DECCANCE,EQ,       271.20,                  1055625.80,3898
,DEEPAKFERT,EQ,        92.10,                 10006447.55,108492
