,16-Dec-2019
The Nifty witnessed an intraday movement of about 88.35 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28996.56
, Traded Quantity (in Lakhs), 15234.58
, Number of Trades, 10506543
, Total Market Capitalisation (Rs. Crores), 15175142.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BGLOBAL,BE,         1.95,                     3675.40,1872
,BGRENERGY,EQ,        42.35,                215909648.75,5266443
,BHAGERIA,EQ,        90.85,                   397449.60,4361
,BHAGYANGR,EQ,        17.50,                   130089.60,7530
,BHAGYAPROP,EQ,        18.55,                     4161.50,218
,BHANDARI,EQ,         1.10,                    52553.90,49224
,BHARATFORG,EQ,       470.90,                771773978.80,1646201
,BHARATGEAR,EQ,        62.80,                   579023.25,9209
,BHARATRAS,EQ,      6205.50,                 16062750.40,2589
,BHARATWIRE,EQ,        25.60,                   814946.15,32097
,BHEL,EQ,        45.60,                393999437.05,8597276
,BIGBLOC,BE,        35.25,                   197605.25,5477
,BIL,EQ,       140.05,                   414560.95,2942
,BILENERGY,EQ,         1.15,                    91016.20,79128
,BINANIIND,BZ,         6.15,                    16747.00,2661
,BINDALAGRO,EQ,         8.80,                    81081.70,9168
,BIOFILCHEM,BE,        14.15,                    46822.35,3309
,BIRLACABLE,EQ,        54.65,                  2020655.60,36869
,BIRLACORPN,EQ,       622.45,                 19115183.70,30371
,BIRLAMONEY,EQ,        36.30,                 17811143.90,487418
,BKMINDST,EQ,          .70,                    73107.65,103899
,BLBLIMITED,EQ,         4.45,                   147270.85,35379
,BLISSGVS,EQ,       149.00,                 30071210.60,200361
,BLKASHYAP,EQ,         9.90,                   104549.10,10524
,BLS,EQ,        65.90,                   306430.00,4649
,BLUEBLENDS,BE,          .90,                     2775.65,3026
,BLUECOAST,BE,         3.15,                      251.15,81
,BLUEDART,EQ,      2160.00,                  8737402.50,4042
,BLUESTARCO,EQ,       795.50,                 20940482.15,26206
,BODALCHEM,EQ,        57.20,                  3190873.25,55549
,BOMDYEING,EQ,        75.25,                 68023059.70,905323
,BOROSIL,EQ,       166.50,                  4428324.85,26407
,BPL,EQ,        18.80,                  2869054.75,150685
,BRFL,BZ,         4.20,                    22419.15,5457
,BRIGADE,EQ,       210.10,                 57118517.05,272732
,BRITANNIA,N2,        31.39,                  2162042.63,68232
,BRNL,EQ,        59.75,                  1213458.40,20302
,BROOKS,EQ,        27.55,                   548613.45,19788
,BSE,EQ,       492.90,                 22960202.40,46364
,BSELINFRA,EQ,         1.00,                    12371.45,12294
,BSHSL,SM,       110.60,                   132720.00,1200
,BSL,EQ,        26.60,                   532412.00,19931
,BSLGOLDETF,EQ,      3471.05,                   118380.30,34
,BSLNIFTY,EQ,       131.36,                     6200.33,47
,BSOFT,EQ,        67.30,                 77321793.10,1147534
,BURNPUR,BE,         1.35,                    14176.35,10501
,BUTTERFLY,EQ,       193.25,                  1158308.00,5946
,BVCL,BE,        12.45,                     7850.20,630
,BYKE,EQ,        17.05,                   572061.80,34275
,CADSYS,SM,        36.00,                    72000.00,2000
,CALSOFT,EQ,        14.45,                   235107.35,16429
,CAMLINFINE,EQ,        73.95,                 15340826.45,206484
,CANBK,EQ,       227.55,               1513337645.95,6646066
,CANDC,BZ,         3.00,                     3795.00,1265
,CANFINHOME,EQ,       417.10,                100046943.50,241444
,CANTABIL,EQ,       264.90,                 15926422.00,60631
,CAPACITE,EQ,       176.45,                  2609145.40,14604
,CAPLIPOINT,EQ,       314.50,                 26257898.85,83901
,CAPTRUST,EQ,        85.15,                    50460.00,600
,CARBORUNIV,EQ,       326.80,                 23726873.10,72937
,CAREERP,EQ,       113.35,                  1981797.95,17541
,CARERATING,EQ,       480.10,                 11288859.75,23448
,CASTEXTECH,BE,          .35,                     4144.90,11659
,CASTROLIND,EQ,       130.25,                163481027.55,1249796
,CCHHL,BE,         3.15,                   154278.50,48975
,CCL,EQ,       186.90,                  9851934.20,52934
,CDSL,EQ,       218.15,                 45730890.65,208707
,CEATLTD,EQ,       984.90,                 52746350.45,53797
,CEBBCO,EQ,        14.80,                   407475.10,27365
,CELEBRITY,EQ,         5.35,                    34565.70,6455
,CELESTIAL,BE,         3.15,                     1828.15,581
,CENTENKA,EQ,       182.15,                   937355.90,5195
,CENTEXT,EQ,         2.45,                   152349.60,62189
,CENTRALBK,EQ,        18.85,                 14794823.65,777797
,CENTRUM,EQ,        20.10,                  2537195.70,126614
,CENTUM,EQ,       356.85,                   613762.80,1705
,CENTURYPLY,EQ,       162.85,                 10280669.05,62597
