,13-Feb-2019
The Nifty witnessed an intraday movement of about 119.55 points.The closing index was 0.35 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29238.16
, Traded Quantity (in Lakhs), 15346.87
, Number of Trades, 11602901
, Total Market Capitalisation (Rs. Crores), 13710053.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APARINDS,EQ,       615.00,                  7406714.45,12044
,APCL,EQ,       106.25,                    18874.40,180
,APCOTEXIND,EQ,       443.60,                   491050.85,1110
,APEX,EQ,       283.50,                 13443603.85,46734
,APLAPOLLO,EQ,      1071.75,                  9182403.65,8477
,APLLTD,EQ,       538.50,                 13069257.95,23671
,APOLLO,EQ,        98.30,                   726175.35,7314
,APOLLOHOSP,EQ,      1149.80,               1137988578.30,989560
,APOLLOTYRE,EQ,       199.50,                474909837.00,2357127
,APOLSINHOT,BE,       931.30,                   513524.05,556
,APTECHT,EQ,       159.50,                 45926563.95,286436
,ARCHIDPLY,EQ,        36.25,                   254079.55,6990
,ARCHIES,EQ,        25.20,                  2308066.55,88751
,ARCOTECH,EQ,         4.80,                   363154.65,76643
,ARIES,EQ,        85.65,                  1458886.15,16928
,ARIHANT,EQ,        29.00,                    74089.00,2511
,ARIHANTSUP,EQ,        50.75,                   960972.75,19180
,ARMANFIN,EQ,       388.30,                  2102180.90,5327
,AROGRANITE,EQ,        45.20,                   264234.65,5839
,ARROWGREEN,BE,        83.00,                   374102.95,4617
,ARROWTEX,EQ,        14.40,                   103537.15,6928
,ARSHIYA,EQ,        29.40,                  3670695.15,118934
,ARSSINFRA,EQ,        30.65,                   980804.15,32101
,ARVIND,EQ,        78.30,                106174217.55,1341567
,ARVSMART,EQ,       110.85,                  2270912.80,20543
,ASAHIINDIA,EQ,       255.25,                  9204268.75,36250
,ASAHISONG,EQ,       152.20,                  6344319.15,42119
,ASAL,EQ,        47.10,                   289732.85,5988
,ASHAPURMIN,EQ,        21.65,                   545614.35,25368
,ASHIANA,EQ,       105.65,                  3369923.75,31521
,ASHIMASYN,BE,        13.40,                   106052.20,8219
,ASHOKA,EQ,       110.80,                  7530009.65,67031
,ASIANHOTNR,EQ,       145.00,                    66866.80,457
,ASIANTILES,EQ,       149.80,                  8516480.10,56399
,ASPINWALL,EQ,       150.95,                   182404.35,1216
,ASSAMCO,EQ,         2.10,                   508183.20,241992
,ASTEC,EQ,       481.15,                  6085120.95,12552
,ASTERDM,EQ,       152.00,                  2368593.50,15425
,ASTRAL,EQ,      1168.95,                110198643.55,94405
,ASTRAMICRO,EQ,        74.30,                  1743468.40,23304
,ASTRAZEN,EQ,      1828.75,                 46755216.30,25375
,ASTRON,EQ,       103.25,                 29655538.95,289110
,ATFL,EQ,       555.85,                  2953036.80,5200
,ATLANTA,EQ,        16.65,                   611072.10,36734
,ATLASCYCLE,BE,        62.90,                    29535.70,466
,ATUL,EQ,      3381.60,                 19772679.00,5831
,ATULAUTO,EQ,       290.60,                  2706138.05,9277
,AUBANK,EQ,       576.25,                 79030972.95,136687
,AURIONPRO,EQ,       111.75,                  1382774.75,12381
,AUSOMENT,EQ,        27.95,                    48503.05,1699
,AUTOAXLES,EQ,      1122.60,                 90666037.60,79088
,AUTOIND,EQ,        55.35,                   311672.15,5557
,AUTOLITIND,EQ,        29.65,                   813968.90,27205
,AVADHSUGAR,EQ,       366.75,                 12845855.95,34576
,AVANTIFEED,EQ,       321.80,                 57230075.70,175717
,AVG,SM,        78.65,                  1923060.00,25200
,AVTNPL,EQ,        21.45,                   574339.40,26792
,AXISCADES,EQ,        56.55,                  2470652.60,43365
,AXISGOLD,EQ,      2883.55,                   138619.40,48
,AXISNIFTY,EQ,      1094.46,                    37609.14,34
,AYMSYNTEX,EQ,        33.40,                   152870.90,4553
,BAFNAPHARM,EQ,         9.20,                    54197.90,5870
,BAGFILMS,EQ,         4.45,                   565110.15,124130
,BAJAJCON,EQ,       352.05,                 87266382.90,248441
,BAJAJELEC,EQ,       455.90,                109404888.30,236588
,BAJAJHIND,EQ,         6.90,                 38954513.90,5411175
,BAJAJHLDNG,EQ,      3132.35,                 61704939.65,19694
,BALAJITELE,EQ,        80.85,                  3799283.75,46752
,BALAMINES,EQ,       394.95,                 13607834.20,34573
