,07-Feb-2019
The Nifty witnessed an intraday movement of about 74.5 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30954.86
, Traded Quantity (in Lakhs), 19264.8
, Number of Trades, 12212603
, Total Market Capitalisation (Rs. Crores), 14120324.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AURIONPRO,EQ,       114.15,                  2762649.05,24015
,AUSOMENT,EQ,        33.50,                   123341.85,3704
,AUTOAXLES,EQ,      1133.60,                  6844430.75,6035
,AUTOIND,EQ,        56.35,                  1054308.30,18612
,AUTOLITIND,EQ,        30.65,                   265615.10,8508
,AVADHSUGAR,EQ,       373.30,                  9597082.80,25918
,AVANTIFEED,EQ,       332.70,                210480666.70,629189
,AVG,SM,        77.30,                  1635660.00,20400
,AVTNPL,EQ,        21.85,                   641713.15,29626
,AXISCADES,EQ,        55.20,                  2373450.85,42779
,AXISGOLD,EQ,      2894.00,                   238114.60,82
,AXISNIFTY,EQ,      1123.10,                    11231.00,10
,AYMSYNTEX,EQ,        34.00,                   465347.35,13531
,BAFNAPHARM,EQ,         9.35,                    51147.90,5547
,BAGFILMS,EQ,         4.20,                   398938.50,94261
,BAJAJCON,EQ,       353.85,                  8093081.30,22853
,BAJAJELEC,EQ,       515.15,                875451630.40,1720218
,BAJAJHIND,EQ,         7.60,                 12843150.75,1681320
,BAJAJHLDNG,EQ,      3116.85,               1705866406.25,550055
,BALAJITELE,EQ,        87.05,                   980517.85,11195
,BALAMINES,EQ,       409.65,                  7710425.95,19120
,BALKRISHNA,EQ,        37.10,                   239180.90,6473
,BALKRISIND,EQ,       800.15,                450707706.30,565074
,BALLARPUR,EQ,         3.60,                   801039.60,222511
,BALMLAWRIE,EQ,       185.40,                  5280269.90,28329
,BALPHARMA,EQ,        74.10,                   700552.30,9366
,BALRAMCHIN,EQ,       106.25,                173807890.65,1631879
,BANARBEADS,EQ,        41.65,                    13323.70,305
,BANARISUG,EQ,      1486.45,                 11833092.90,7783
,BANCOINDIA,EQ,       168.90,                  1860352.00,10979
,BANG,EQ,        52.75,                  3627336.05,68777
,BANKBEES,EQ,      2785.13,                 29403442.58,10543
,BANKINDIA,EQ,        92.05,                834738125.75,9023352
,BANSWRAS,EQ,        63.85,                   224077.75,3512
,BARTRONICS,EQ,         5.65,                   166059.85,28692
,BASF,EQ,      1338.75,                 12979990.50,9786
,BASML,EQ,       177.90,                  1899887.70,10647
