,19-Feb-2019
The Nifty witnessed an intraday movement of about 137.2 points.The closing index was 0.34 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26096.69
, Traded Quantity (in Lakhs), 12782.76
, Number of Trades, 9921435
, Total Market Capitalisation (Rs. Crores), 13466305.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASTRAZEN,EQ,      1746.30,                 13514159.55,7672
,ASTRON,EQ,       105.20,                 12566290.45,118891
,ATFL,EQ,       572.10,                  2967515.90,5174
,ATLANTA,EQ,        14.85,                   522795.20,35473
,ATLASCYCLE,BE,        60.35,                    95070.20,1554
,ATUL,EQ,      3408.55,                 14862316.40,4337
,ATULAUTO,EQ,       296.85,                  3765050.85,12837
,AUBANK,EQ,       566.00,                 97943866.35,171955
,AURIONPRO,EQ,       111.00,                  1815043.20,16324
,AUSOMENT,EQ,        28.30,                    62970.35,2246
,AUTOAXLES,EQ,      1140.00,                 62439267.25,55038
,AUTOIND,EQ,        53.20,                   283388.85,5324
,AUTOLITIND,EQ,        29.55,                   121538.35,4133
,AVADHSUGAR,EQ,       409.05,                 73920249.70,182278
,AVANTIFEED,EQ,       321.60,                 52973086.40,164572
,AVG,SM,        73.00,                  1488840.00,20400
,AVTNPL,EQ,        22.65,                   277945.25,12339
,AXISCADES,EQ,        57.30,                   789445.90,13724
,AXISGOLD,EQ,      2961.20,                   561608.30,190
,AXISNIFTY,EQ,      1088.30,                    35875.80,33
,AYMSYNTEX,EQ,        30.50,                   208512.40,6725
,BAFNAPHARM,EQ,         8.75,                   118451.10,13733
,BAGFILMS,EQ,         5.05,                   698254.90,136032
,BAJAJCON,EQ,       349.00,                  5842390.75,16698
,BAJAJELEC,EQ,       434.05,                 83723967.15,192901
,BAJAJHIND,EQ,         7.65,                 17332079.85,2281004
,BAJAJHLDNG,EQ,      3105.95,                 33046852.50,10738
,BALAJITELE,EQ,        80.55,                  1623685.10,20101
,BALAMINES,EQ,       372.50,                 18455232.35,49456
,BALKRISHNA,EQ,        34.45,                   138249.85,3925
,BALKRISIND,EQ,       818.60,                495403005.20,596745
,BALLARPUR,EQ,         3.50,                  1037612.45,302524
,BALMLAWRIE,EQ,       166.00,                  7845559.80,47574
,BALPHARMA,EQ,        64.55,                   239698.55,3733
,BALRAMCHIN,EQ,       125.70,                840820336.10,6774142
,BANARBEADS,EQ,        39.20,                    35992.05,902
,BANARISUG,EQ,      1503.45,                   957914.95,649
,BANCOINDIA,EQ,       147.85,                 12174982.75,80753
,BANG,EQ,        43.25,                   729572.65,16810
,BANKBEES,EQ,      2714.04,                 47297804.90,17313
,BANKINDIA,EQ,        81.10,                960360218.95,11757622
,BANSWRAS,EQ,        65.45,                   506351.35,7735
,BARTRONICS,EQ,         5.35,                   154851.45,28355
,BASF,EQ,      1198.85,                  6853113.50,5654
,BASML,EQ,       181.05,                    16842.25,93
,BATAINDIA,EQ,      1264.05,                885734782.65,698817
,BAYERCROP,EQ,      4311.80,                 15454283.55,3578
,BBL,EQ,       964.15,                  3826155.90,3952
,BBTC,EQ,      1199.55,                 66717929.85,55880
,BCG,EQ,         3.00,                   617107.95,203736
,BDL,EQ,       246.15,                 20051866.75,81055
,BEARDSELL,EQ,        14.95,                   229555.25,15559
,BEDMUTHA,EQ,        15.90,                   199935.35,12443
,BEML,EQ,       756.55,               1020912059.10,1333590
,BEPL,EQ,        59.60,                 26404354.50,439626
,BERGEPAINT,EQ,       290.40,                203250204.85,701942
,BFINVEST,EQ,       170.85,                  9736031.15,56782
,BFUTILITIE,EQ,       150.85,                 34938181.10,231358
,BGRENERGY,EQ,        50.00,                  2752222.50,54092
,BHAGERIA,EQ,       220.40,                   952057.85,4319
,BHAGYANGR,EQ,        30.55,                   202213.70,6619
,BHAGYAPROP,EQ,        28.50,                    84684.35,2984
,BHANDARI,EQ,         1.95,                   150923.00,76966
,BHARATFIN,EQ,       923.55,                192657644.00,205717
,BHARATFORG,EQ,       457.60,                311420683.60,675042
,BHARATGEAR,EQ,       145.00,                   708578.45,4864
,BHARATRAS,EQ,      3618.55,                 10309711.90,2802
,BHARATWIRE,EQ,        59.00,                   812164.95,13920
,BIGBLOC,EQ,        26.85,                    47366.55,1789
,BIL,EQ,       215.00,                  3813026.15,17456
,BILENERGY,BE,         1.30,                   198675.10,152827
,BINANIIND,EQ,        33.55,                   417892.60,12269
,BINDALAGRO,EQ,        13.05,                   170308.10,12919
,BIOFILCHEM,BE,         6.00,                     7380.00,1215
,BIRLACABLE,EQ,       152.80,                  7855685.90,51195
,BIRLACORPN,EQ,       446.30,                  8583187.05,19138
,BIRLAMONEY,BE,        40.70,                   582997.95,14353
,BKMINDST,EQ,         3.45,                   200301.15,56223
,BLBLIMITED,EQ,         5.15,                    12295.40,2444
,BLISSGVS,EQ,       153.05,                416759942.50,2805146
,BLKASHYAP,EQ,        18.00,                   880258.80,48525
,BLS,EQ,        94.95,                  3156629.15,33224
,BLUEBLENDS,EQ,         3.45,                    14851.80,4255
,BLUEDART,EQ,      3029.80,                  3372968.85,1116
,BLUEDART,N3,        10.93,                    21746.70,1995
,BLUESTARCO,EQ,       562.45,                  4497420.20,7896
,BODALCHEM,EQ,        94.40,                 18051814.50,191107
,BOHRA,SM,        13.35,                    80100.00,6000
,BOMDYEING,EQ,       105.05,                113148499.80,1070287
,BOROSIL,EQ,       199.45,                  3590300.55,18056
,BPL,EQ,        25.65,                  4979774.50,189762
,BRFL,EQ,         7.70,                   358322.00,46449
,BRIGADE,EQ,       197.75,                 36004249.80,178507
,BRIGHT,SM,        34.95,                   413100.00,12000
,BRNL,EQ,        95.70,                   483835.65,5037
,BROOKS,EQ,        39.65,                   355188.65,8899
,BSE,EQ,       546.40,                 28922333.35,52190
,BSELINFRA,EQ,         1.75,                   178464.90,104906
,BSHSL,SM,       130.60,                   130600.00,1000
,BSL,EQ,        42.50,                    82199.30,1944
,BSLGOLDETF,EQ,      3104.95,                   198679.95,64
,BSLNIFTY,EQ,       112.50,                    43441.72,384
,BURNPUR,EQ,         2.65,                    38976.20,14708
,BUTTERFLY,EQ,       180.90,                  3865390.70,21082
,BVCL,BE,        15.30,                     8034.50,533
,BYKE,EQ,        27.60,                  1157396.10,41645
,CADSYS,SM,        46.10,                   184500.00,4000
,CALSOFT,EQ,        19.45,                   253230.10,13018
,CAMLINFINE,EQ,        42.25,                  4362370.45,102744
,CANBK,EQ,       214.85,               1352340068.15,6221013
,CANDC,EQ,        14.70,                    84113.40,5722
,CANFINHOME,EQ,       242.95,                226312936.35,916621
,CANTABIL,EQ,       191.25,                  9676426.10,50576
,CAPACITE,EQ,       192.05,                 24158763.05,123984
,CAPLIPOINT,EQ,       324.80,                  3873324.10,11801
,CAPTRUST,BE,       178.50,                   229111.25,1290
,CARBORUNIV,EQ,       348.00,                  3178050.30,9131
,CAREERP,EQ,        67.90,                   498496.45,7215
,CARERATING,EQ,       959.95,                 47689903.35,49971
,CASTEXTECH,EQ,          .80,                   111581.95,132141
,CASTROLIND,EQ,       147.90,                135390074.30,908147
,CCCL,EQ,         1.85,                    51680.85,28114
,CCHHL,EQ,         5.95,                   188853.60,32881
,CCL,EQ,       261.85,                  4967155.50,18748
,CDSL,EQ,       209.15,                 15365086.70,72960
,CEATLTD,EQ,      1052.00,                400249677.70,378261
,CEBBCO,BE,        19.80,                   547271.30,27225
,CELEBRITY,EQ,         7.80,                    39794.05,5093
,CELESTIAL,EQ,         4.50,                   240263.90,55088
,CENTENKA,EQ,       222.15,                 15033772.95,67803
,CENTEXT,EQ,         5.90,                   831940.15,139357
,CENTRALBK,EQ,        28.80,                 11171350.65,388158
,CENTRUM,EQ,        31.50,                  1952853.20,61775
,CENTUM,EQ,       385.75,                  1525323.90,3956
,CENTURYPLY,EQ,       160.65,                 10532192.45,65333
,CENTURYTEX,EQ,       715.45,                444495381.55,615972
,CERA,EQ,      2161.20,                  9723887.95,4502
,CEREBRAINT,EQ,        26.80,                 37864988.25,1387659
,CES1RPG,MF,         9.00,                    60750.00,6750
,CESC,EQ,       657.85,                134670760.10,203877
,CESCVENT,EQ,       407.15,                 22859609.10,55225
,CGCL,EQ,       135.75,                 30952280.55,230854
,CGPOWER,EQ,        28.80,                954362502.55,33413016
,CHALET,EQ,       280.20,                  7451612.70,26602
,CHAMBLFERT,EQ,       160.00,                 40176441.50,252020
,CHEMFAB,EQ,       132.00,                   165090.95,1241
,CHENNPETRO,EQ,       202.45,                127971606.35,623789
,CHOLAFIN,EQ,      1160.05,                273730335.80,234328
,CHROMATIC,BE,          .90,                    40421.75,46306
,CIGNITITEC,EQ,       325.00,                  2784430.15,8463
,CIMMCO,EQ,        29.05,                   763506.95,26376
,CINELINE,EQ,        42.55,                   908447.70,21265
,CINEVISTA,EQ,         5.05,                    23302.45,4637
,CLEDUCATE,EQ,       116.85,                   891855.45,7588
,CLNINDIA,EQ,       322.20,                 23436541.50,72035
,CMICABLES,EQ,       121.25,                   553489.15,4560
,CMMIPL,SM,         6.35,                    57450.00,9000
,CNOVAPETRO,EQ,        16.50,                     2933.10,192
,COCHINSHIP,EQ,       339.35,                  9050330.90,26681
,COFFEEDAY,EQ,       279.95,                 32651732.15,116927
,COMPINFO,EQ,        16.80,                   177330.85,10581
,COMPUSOFT,EQ,         9.10,                    48653.35,5358
,CONSOFINVT,EQ,        35.35,                    12330.15,348
,CONTROLPR,EQ,       267.15,                  1119892.75,4197
,CORALFINAC,EQ,        14.45,                    81501.55,5628
,CORDSCABLE,EQ,        56.20,                   372884.15,6562
,COROMANDEL,EQ,       447.70,                 11701038.60,26051
