,25-Feb-2019
The Nifty witnessed an intraday movement of about 99.05 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33085.71
, Traded Quantity (in Lakhs), 22069.73
, Number of Trades, 12052303
, Total Market Capitalisation (Rs. Crores), 13873617.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASTEC,EQ,       492.45,                  1692647.15,3435
,ASTERDM,EQ,       154.80,                 34119855.85,220678
,ASTRAL,EQ,      1099.90,                 29463338.15,26683
,ASTRAMICRO,EQ,        77.95,                 86903370.20,1116716
,ASTRAZEN,EQ,      1869.90,                 29650003.85,15709
,ASTRON,EQ,       102.10,                  7174085.80,69605
,ATFL,EQ,       563.15,                  1654938.15,2923
,ATLANTA,EQ,        16.55,                   243874.45,14754
,ATLASCYCLE,BE,        64.40,                   103616.90,1646
,ATNINTER,BE,          .05,                      435.25,8705
,ATUL,EQ,      3331.35,                 11151063.95,3337
,ATULAUTO,EQ,       309.60,                  3466257.20,11231
,AUBANK,EQ,       573.65,                 21899044.60,38197
,AURIONPRO,EQ,       113.15,                  1713557.90,15094
,AUSOMENT,EQ,        32.35,                   127367.75,3982
,AUTOAXLES,EQ,      1196.85,                 25423263.95,21449
,AUTOIND,EQ,        52.90,                   465148.10,8826
,AUTOLITIND,EQ,        29.50,                    61481.25,2073
,AVADHSUGAR,EQ,       500.60,                264511670.90,543437
,AVANTIFEED,EQ,       346.60,                 97248060.75,279860
,AVG,SM,        77.15,                  1647660.00,21600
,AVTNPL,EQ,        24.25,                   994207.90,40835
,AXISCADES,EQ,        64.75,                  1117594.70,17386
,AXISGOLD,EQ,      2942.80,                   432254.80,147
,AXISNIFTY,EQ,      1105.24,                     9952.20,9
,AYMSYNTEX,EQ,        34.45,                   662251.35,19516
,BAFNAPHARM,EQ,        10.35,                   178783.35,17704
,BAGFILMS,EQ,         4.95,                   909645.75,180812
,BAJAJCON,EQ,       348.80,                  4447271.85,12718
,BAJAJELEC,EQ,       462.60,                 96690429.80,207679
,BAJAJHIND,EQ,         8.80,                 63678608.50,7282216
,BAJAJHLDNG,EQ,      3135.95,                 81610841.80,25970
,BALAJITELE,EQ,        84.45,                  2232556.50,26482
,BALAMINES,EQ,       415.95,                  7800446.95,18957
,BALKRISHNA,EQ,        37.25,                   204427.65,5546
,BALKRISIND,EQ,       873.05,               1128942787.60,1303253
,BALLARPUR,EQ,         3.55,                  2461205.90,685013
,BALMLAWRIE,EQ,       175.90,                  4260819.35,24288
,BALPHARMA,EQ,        74.30,                 10379818.45,138266
,BALRAMCHIN,EQ,       130.15,               1079596837.30,8245721
,BANARBEADS,EQ,        42.90,                   104704.55,2495
,BANARISUG,EQ,      1509.80,                  7440893.40,4893
,BANCOINDIA,EQ,       152.05,                 11812871.35,78297
,BANG,EQ,        42.80,                   532093.45,12381
,BANKBEES,EQ,      2759.38,                  4314611.75,1567
