,05-Feb-2019
The Nifty witnessed an intraday movement of about 70 points.The closing index was 0.2 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28844.23
, Traded Quantity (in Lakhs), 21766.17
, Number of Trades, 11170844
, Total Market Capitalisation (Rs. Crores), 13911393.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLBLIMITED,EQ,         5.30,                    62062.75,11640
,BLISSGVS,EQ,       161.50,                354907668.85,2247476
,BLKASHYAP,EQ,        18.20,                  2727071.70,145433
,BLS,EQ,       104.60,                 21186800.00,215544
,BLUEBLENDS,EQ,         3.20,                    26674.30,8007
,BLUECOAST,BE,        47.50,                       47.50,1
,BLUEDART,EQ,      3093.10,                 16996642.75,5525
,BLUESTARCO,EQ,       594.20,                 20870772.05,34939
,BODALCHEM,EQ,       103.40,                  6571307.55,63134
,BOHRA,SM,        21.40,                    42800.00,2000
,BOMDYEING,EQ,       109.30,                 79714865.50,709099
,BOROSIL,EQ,       205.50,                 11011776.75,53093
,BPL,EQ,        31.00,                  4751492.40,149034
,BRFL,EQ,         7.20,                   413864.80,57362
,BRIGADE,EQ,       204.35,                  5091963.20,24736
,BRNL,EQ,        81.70,                   344928.55,4219
,BROOKS,EQ,        46.05,                   846092.70,17852
,BSE,EQ,       572.75,                 22007186.00,38250
,BSELINFRA,EQ,         1.45,                   187199.40,125553
,BSHSL,SM,       125.10,                   256600.00,2000
,BSL,EQ,        43.40,                   259423.05,5875
,BSLGOLDETF,EQ,      3070.00,                    97435.00,32
,BSLNIFTY,EQ,       116.49,                     1632.82,14
,BURNPUR,EQ,         2.70,                   320807.15,114496
,BUTTERFLY,EQ,       229.50,                  2451759.70,10507
,BVCL,BE,        15.55,                     6239.30,402
,BYKE,EQ,        31.45,                  6036107.45,182892
,CALSOFT,EQ,        18.60,                   675003.20,35536
,CAMLINFINE,EQ,        48.50,                  3906080.60,80131
,CANBK,EQ,       231.15,               1019328848.95,4362173
,CANDC,EQ,        22.90,                   494919.95,21343
,CANFINHOME,EQ,       245.85,                137482764.55,556021
,CANTABIL,EQ,       145.45,                  5380729.15,37345
,CAPACITE,EQ,       210.00,                  7007166.05,33436
,CAPLIPOINT,EQ,       340.10,                  4238904.35,12364
,CAPTRUST,BE,       191.85,                   162179.80,875
,CARBORUNIV,EQ,       344.30,                  6897373.55,19896
,CAREERP,EQ,        66.95,                   739907.60,11004
,CARERATING,EQ,       975.80,                177262749.85,180141
,CASTEXTECH,EQ,          .85,                   549017.15,638470
,CASTROLIND,EQ,       153.00,                 88075664.15,571718
,CCCL,EQ,         1.90,                   309565.10,162489
,CCHHL,EQ,         6.55,                   168198.95,25348
,CCL,EQ,       271.00,                  6013414.25,22239
,CDSL,EQ,       207.60,                 29246294.50,138743
,CEATLTD,EQ,      1098.45,                430435177.15,393345
,CEBBCO,BE,        18.40,                   848487.60,45713
,CELEBRITY,EQ,         9.15,                   176777.90,19312
,CELESTIAL,EQ,         6.25,                   236768.80,37187
,CENTENKA,EQ,       237.25,                  1378374.90,5797
,CENTEXT,EQ,         6.40,                   280585.00,43572
,CENTRALBK,EQ,        29.25,                  7222455.85,243840
,CENTRUM,EQ,        32.40,                  5010200.80,151800
,CENTUM,EQ,       420.35,                 15732486.70,39747
,CENTURYPLY,EQ,       162.15,                 60844129.95,375441
,CENTURYTEX,EQ,       749.90,                558761044.25,739750
,CERA,EQ,      2320.75,                 20287374.15,8739
,CEREBRAINT,EQ,        27.75,                 20131707.15,736912
,CES1RPG,MF,         9.05,                    27249.95,3000
,CESC,EQ,       692.25,               1268865589.05,1852533
,CESCVENT,BE,       447.60,                 49489907.15,111441
,CGCL,EQ,       138.10,                 58122428.50,416811
,CGPOWER,EQ,        31.75,                525531525.55,15669519
,CHAMBLFERT,EQ,       161.60,                 18288955.45,111998
,CHEMFAB,EQ,       141.25,                   127400.85,893
,CHENNPETRO,EQ,       230.85,                121686679.00,530238
,CHOLAFIN,EQ,      1237.35,                427245149.95,346095
,CHROMATIC,BE,          .90,                    61335.95,65938
,CIGNITITEC,EQ,       339.55,                 14196133.85,41746
,CIMMCO,EQ,        32.15,                   474946.65,14508
,CINELINE,EQ,        42.35,                   760393.15,17764
,CINEVISTA,EQ,         5.15,                     1605.70,311
,CLEDUCATE,EQ,       124.00,                  1756010.95,14088
,CLNINDIA,EQ,       375.10,                  9794541.65,25896
,CMICABLES,EQ,       122.80,                  2487340.90,20066
,CNOVAPETRO,EQ,        17.65,                     9196.10,545
,COCHINSHIP,EQ,       364.90,                 10403434.75,28494
,COFFEEDAY,EQ,       260.95,                 34454425.45,132289
,COMPINFO,EQ,        16.10,                  1130515.60,67887
,COMPUSOFT,EQ,         9.00,                   307037.20,33706
,CONSOFINVT,EQ,        44.30,                    13666.15,307
,CONTROLPR,EQ,       262.35,                  1749891.25,6634
,CORALFINAC,EQ,        14.85,                   161124.60,10796
,CORDSCABLE,EQ,        56.65,                   485615.80,8517
,COROMANDEL,EQ,       453.35,                  8454379.40,18553
,CORPBANK,EQ,        25.65,                  4293155.95,167148
,COSMOFILMS,EQ,       183.10,                  2357734.60,12746
,COUNCODOS,EQ,         2.10,                     2038.75,968
,COX&KINGS,EQ,       159.25,                  4275423.40,27023
,CPSEETF,EQ,        22.94,                629802540.69,27202588
,CREATIVE,SM,       114.00,                   182400.00,1600
,CREATIVEYE,EQ,         2.40,                       12.00,5
,CREDITACC,EQ,       402.50,                 22811560.50,56718
,CREST,EQ,       131.25,                   650488.30,4948
,CRISIL,EQ,      1640.80,                  6423214.25,3923
,CRMFGETF,EQ,      3019.00,                     3019.00,1
,CROMPTON,EQ,       210.55,                 92276337.80,439281
,CTE,EQ,        41.75,                   222080.60,5384
,CUB,EQ,       188.05,                 82363121.30,437974
,CUBEXTUB,EQ,        13.00,                    36394.70,2729
,CUMMINSIND,EQ,       799.55,                419401291.35,521959
,CUPID,EQ,       118.85,                  1223450.90,10156
,CURATECH,BE,          .95,                     2660.95,2801
,CYBERMEDIA,EQ,         5.65,                       11.30,2
,CYBERTECH,EQ,        38.90,                  1191271.50,29602
,CYIENT,EQ,       605.00,                 62238074.90,102799
,DAAWAT,EQ,        35.75,                 14997556.45,412607
,DALBHARAT,EQ,      1047.20,                 70564913.05,67809
,DALMIASUG,EQ,        93.35,                 20860458.40,224988
,DAMODARIND,EQ,        41.00,                   107396.95,2600
,DATAMATICS,EQ,        96.25,                  4203573.05,43046
,DBCORP,EQ,       179.85,                  4909104.10,27461
,DBL,EQ,       316.35,                 38763409.20,121948
,DBREALTY,BE,        23.40,                  2140279.35,90330
,DCAL,EQ,       199.70,                 14324217.40,71776
,DCBBANK,EQ,       178.60,                132942314.05,744881
,DCM,EQ,        67.00,                   144579.10,2154
,DCMFINSERV,EQ,         1.20,                       60.00,50
,DCMSHRIRAM,EQ,       343.05,                 25024640.45,73274
,DCW,EQ,        14.25,                  3938264.50,272765
,DECCANCE,EQ,       369.30,                   252452.55,680
,DEEPAKFERT,EQ,       113.05,                 36650919.45,325887
,DEEPAKNTR,EQ,       222.55,                 13185655.15,58532
,DEEPIND,EQ,       105.60,                   828272.85,7772
,DELTACORP,EQ,       231.20,                 78443013.15,341311
,DELTAMAGNT,EQ,        71.50,                    42323.30,608
,DEN,EQ,        71.75,                 11490454.65,160126
,DENABANK,EQ,        11.75,                 16305337.60,1367728
,DENORA,EQ,       228.75,                  1949050.60,8531
