,28-Feb-2019
The Nifty witnessed an intraday movement of about 80.85 points.The closing index was 0.13 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42785.02
, Traded Quantity (in Lakhs), 19875.2
, Number of Trades, 12033081
, Total Market Capitalisation (Rs. Crores), 13871449.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,APOLLOTYRE,EQ,       217.45,                744875670.60,3454722
,APOLSINHOT,BE,       950.00,                  2529867.15,2665
,APTECHT,EQ,       156.95,                 15803339.50,100567
,ARCHIDPLY,EQ,        38.75,                   202523.00,5245
,ARCHIES,EQ,        22.15,                   483387.65,21673
,ARCOTECH,EQ,         5.20,                   406509.25,80056
,ARIES,EQ,        73.35,                  1634050.10,22210
,ARIHANT,EQ,        29.00,                    14851.60,519
,ARIHANTSUP,EQ,        49.30,                   950967.65,19579
,ARMANFIN,EQ,       373.95,                   143643.85,387
,AROGRANITE,EQ,        45.65,                   114100.90,2494
,ARROWGREEN,BE,        73.50,                   521102.70,7071
,ARROWTEX,EQ,        19.10,                   287222.45,14816
,ARSHIYA,EQ,        28.50,                  1266050.45,44598
,ARSSINFRA,EQ,        35.25,                   264903.75,7515
,ARVIND,EQ,        75.60,                175006944.80,2315639
,ARVSMART,EQ,       116.80,                   356657.50,3058
,ASAHIINDIA,EQ,       256.50,                  1363665.80,5338
,ASAHISONG,EQ,       153.15,                   376251.55,2446
,ASAL,EQ,        46.95,                   156885.20,3354
,ASHAPURMIN,EQ,        20.40,                  1187803.80,57965
,ASHIANA,EQ,       109.70,                  4920038.80,44576
,ASHIMASYN,BE,        13.15,                    57124.35,4401
,ASHOKA,EQ,       118.50,                 44078202.95,378883
,ASIANHOTNR,EQ,       141.95,                   227980.15,1600
,ASIANTILES,EQ,       175.40,                  4129186.85,23625
,ASLIND,SM,        25.00,                   200000.00,8000
,ASPINWALL,EQ,       147.00,                    63742.25,434
,ASSAMCO,BE,         2.40,                    47664.00,19860
,ASTEC,EQ,       502.30,                  8326311.50,16527
,ASTERDM,EQ,       156.50,                  2422976.10,15531
,ASTRAL,EQ,      1080.60,                105684318.50,97500
,ASTRAMICRO,EQ,        79.05,                  4318908.80,54343
,ASTRAZEN,EQ,      2028.40,                121178595.85,60419
,ASTRON,EQ,        94.85,                  7694179.00,79853
,ATFL,EQ,       555.35,                  7905376.00,14081
,ATLANTA,EQ,        16.20,                   256265.35,15780
,ATLASCYCLE,BE,        66.65,                   110507.95,1663
,ATUL,EQ,      3366.95,                 63754298.25,18927
,ATULAUTO,EQ,       310.95,                  3618546.65,11740
,AUBANK,EQ,       579.60,                 45404006.30,78710
,AURIONPRO,EQ,       108.75,                   661396.60,6100
,AUSOMENT,EQ,        33.25,                    27578.95,826
,AUTOAXLES,EQ,      1221.80,                 12921115.10,10672
,AUTOIND,EQ,        53.10,                  2245654.80,42499
,AUTOLITIND,EQ,        29.70,                   889539.45,29323
,AVADHSUGAR,EQ,       486.80,                107201764.70,220364
,AVANTIFEED,EQ,       334.65,                 67946616.55,202708
,AVG,SM,        76.95,                  1542540.00,20400
,AVTNPL,EQ,        24.95,                   840709.20,33668
,AXISCADES,EQ,        60.80,                  1238260.75,20156
,AXISGOLD,EQ,      2930.00,                   260281.15,89
,AXISNIFTY,EQ,      1108.84,                     5544.20,5
,AYMSYNTEX,EQ,        35.15,                   332947.35,9433
,BAFNAPHARM,EQ,        10.00,                   139201.45,13930
,BAGFILMS,EQ,         4.90,                   446686.75,91622
,BAJAJCON,EQ,       349.90,                  9857319.00,28242
,BAJAJELEC,EQ,       453.00,                 35907381.20,79305
,BAJAJHIND,EQ,         8.25,                 28349571.30,3411150
,BAJAJHLDNG,EQ,      3165.05,                256382494.15,80990
,BALAJITELE,EQ,        80.70,                  1925790.70,23777
,BALAMINES,EQ,       405.35,                  1818507.30,4464
,BALKRISHNA,EQ,        36.35,                   194406.25,5340
,BALKRISIND,EQ,       885.70,                765618010.95,861412
,BALLARPUR,EQ,         3.65,                  1130171.85,314304
,BALMLAWRIE,EQ,       176.75,                  4194718.40,23813
,BALPHARMA,EQ,        69.80,                  1233947.35,17611
,BALRAMCHIN,EQ,       131.00,                491597446.95,3769720
,BANARBEADS,EQ,        42.50,                     1317.95,31
,BANARISUG,EQ,      1537.55,                  1568101.75,1028
,BANCOINDIA,EQ,       146.10,                  2899298.05,19846
,BANG,EQ,        39.45,                  1971998.75,49695
,BANKA,SM,        84.70,                   854100.00,10800
,BANKBEES,EQ,      2735.66,                 94589822.61,34505
,BANKINDIA,EQ,        83.10,                440842622.00,5339038
,BANSAL,SM,        12.00,                   131100.00,11000
,BANSWRAS,EQ,        63.05,                   677747.70,10509
,BARTRONICS,EQ,         6.75,                   652120.15,95907
,BASF,EQ,      1319.20,                 36912054.75,27847
,BASML,EQ,       185.00,                      368.90,2
,BATAINDIA,EQ,      1288.80,               1702360528.50,1326780
,BAYERCROP,EQ,      4345.90,                 89567425.35,20565
,BBL,EQ,      1023.15,                  2812405.25,2763
,BBTC,EQ,      1192.35,                 53769582.80,44937
,BCG,EQ,         3.00,                   858671.25,285138
,BCONCEPTS,SM,        50.00,                   725850.00,15000
,BDL,EQ,       304.00,                338225537.45,1098962
,BEARDSELL,EQ,        15.00,                     5346.25,356
,BEDMUTHA,EQ,        16.65,                   230923.00,13769
,BEML,EQ,       835.30,               1060530054.90,1264575
,BEPL,EQ,        63.80,                 84121229.90,1346687
,BERGEPAINT,EQ,       304.95,                290425025.95,956316
,BETA,SM,        84.00,                   530920.00,6400
,BFINVEST,EQ,       230.45,                 60389225.20,261442
,BFUTILITIE,EQ,       179.75,                 96026503.55,538405
