,ANANTRAJ,EQ,55,41216367.25,739044
,ANDHRACEMT,EQ,9.15,78246.1,8571
,ANDHRSUGAR,EQ,141.6,3199113.95,22682
,ANGIND,EQ,17.5,23890,1368
,ANIKINDS,EQ,34.55,96347.8,2801
,ANKURDRUGS,EQ,18.7,2246405.5,119145
,ANSALAPI,EQ,27.6,2172085.15,77570
,ANSALHSG,EQ,45.15,142473.25,3126
,ANTGRAPHIC,EQ,0.2,1645.8,8229
,APARINDS,EQ,138.75,837661.6,6031
,APCOTEXIND,EQ,157.65,549976.05,3488
,APLAB,EQ,24.3,19928.9,804
,APLAPOLLO,EQ,173,675681.65,3916
,APLLTD,EQ,57.7,1744095.95,30088
,APOLLOHOSP,EQ,635.6,59449818.2,93170
,APOLLOTYRE,EQ,82.7,158828787.6,1908861
,APPAPER,EQ,319.65,364883007.7,1132908
,APTECHT,EQ,73.8,14745953.05,196509
,AQUA,EQ,10.45,2427881.15,226634
,ARCHIDPLY,EQ,8.85,13812.5,1600
,ARCHIES,EQ,23.7,368952.95,15482
,ARIES,EQ,62,279990.5,4547
