,09-Jan-2019
The Nifty witnessed an intraday movement of about 121 points.The closing index was 0.49 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29799.93
, Traded Quantity (in Lakhs), 12675.58
, Number of Trades, 10916246
, Total Market Capitalisation (Rs. Crores), 14159596.56

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ASTRAL,EQ,      1173.35,                 58428071.85,49363
,ASTRAMICRO,EQ,        80.00,                 23243993.75,287962
,ASTRAZEN,EQ,      1476.00,                  4768828.50,3216
,ASTRON,EQ,       117.20,                 20995370.55,178702
,ATFL,EQ,       613.20,                  2661437.65,4311
,ATLANTA,EQ,        22.70,                  2565416.85,112739
,ATLASCYCLE,BE,        81.80,                   242508.60,2993
,ATUL,EQ,      3461.35,                 25190266.20,7280
,ATULAUTO,EQ,       352.05,                140804722.95,403493
,AUBANK,EQ,       630.85,                 86378960.75,137994
,AURDIS,SM,        37.00,                   296100.00,8000
,AURIONPRO,EQ,       130.90,                  1726308.30,13284
,AUSOMENT,EQ,        47.60,                   805917.65,17177
,AUTOAXLES,EQ,      1283.35,                 11921488.40,9247
,AUTOIND,EQ,        67.90,                  2271525.55,33685
,AUTOLITIND,EQ,        40.20,                   140366.95,3471
,AVADHSUGAR,EQ,       390.95,                 20273060.90,50880
,AVANTIFEED,EQ,       382.15,                 65523085.30,171146
,AVTNPL,EQ,        27.05,                   251955.45,9365
,AXISCADES,EQ,        81.65,                  1143300.95,13917
,AXISGOLD,EQ,      2839.90,                    67880.30,24
,AXISNIFTY,EQ,      1100.00,                    55143.04,50
,AYMSYNTEX,EQ,        40.90,                   231695.30,5666
,BAFNAPHARM,EQ,        11.30,                    57583.95,5076
,BAGFILMS,EQ,         5.10,                  1320946.10,260418
,BAJAJCORP,EQ,       371.75,                258324902.80,680121
,BAJAJELEC,EQ,       489.35,                 56917535.25,116853
,BAJAJHIND,EQ,         9.10,                 21103812.55,2290638
,BAJAJHLDNG,EQ,      2951.15,                 17662840.45,5980
,BALAJITELE,EQ,        89.30,                  1086420.55,12160
,BALAMINES,EQ,       447.75,                 52794487.15,117656
,BALKRISHNA,EQ,        50.75,                   434882.75,8556
,BALKRISIND,EQ,       885.70,                808044580.95,911257
,BALLARPUR,EQ,         5.40,                  2949344.40,541624
,BALMLAWRIE,EQ,       196.60,                  7386726.35,37346
,BALPHARMA,EQ,        79.35,                   598228.55,7517
,BALRAMCHIN,EQ,       108.80,                221972159.50,2026711
,BANARBEADS,EQ,        47.55,                    12817.70,271
,BANARISUG,EQ,      1460.00,                   677546.90,462
,BANCOINDIA,EQ,       184.25,                  3543840.60,19219
,BANG,EQ,        60.05,                 11294968.25,186784
,BANKBEES,EQ,      2828.03,               1974735650.77,700122
