,24-Aug-2018
The Nifty witnessed an intraday movement of about 72.6 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33765.97
, Traded Quantity (in Lakhs), 14853.09
, Number of Trades, 11074358
, Total Market Capitalisation (Rs. Crores), 15498405.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CAPLIPOINT,EQ,       405.90,                  7043145.90,17354
,CAPTRUST,EQ,       375.15,                  2175528.10,5742
,CARBORUNIV,EQ,       364.80,                 11346367.95,30947
,CAREERP,EQ,        87.95,                  1458660.60,16508
,CARERATING,EQ,      1282.30,                 10518172.10,8178
,CASTEXTECH,EQ,         1.25,                  1291454.70,1031656
,CASTROLIND,EQ,       157.95,                144909328.25,911827
,CCCL,EQ,         2.45,                   486518.90,204445
,CCHHL,EQ,         9.20,                   828496.70,88013
,CCL,EQ,       260.85,                  6786434.10,25871
,CDSL,EQ,       266.80,                 49274927.10,184994
,CEATLTD,EQ,      1397.15,                540153625.25,385795
,CEBBCO,EQ,        12.90,                   783991.85,61509
,CELEBRITY,EQ,        11.65,                   263499.20,22606
,CELESTIAL,EQ,        14.50,                  1086850.55,74241
,CENTENKA,EQ,       290.70,                  6038744.90,20884
,CENTEXT,EQ,         6.70,                  6159920.30,864530
,CENTRALBK,EQ,        68.60,                  4589257.90,66723
,CENTRUM,EQ,        51.35,                  9125223.95,176225
,CENTUM,EQ,       369.60,                   982146.50,2637
,CENTURYPLY,EQ,       230.50,                 40493294.15,176727
,CENTURYTEX,EQ,       924.20,                293916819.20,317970
,CERA,EQ,      2737.40,                 28845965.10,10407
,CEREBRAINT,EQ,        49.00,                 85363206.00,1791955
,CES1RPG,MF,         9.31,                    59565.38,6398
,CESC,EQ,       989.15,                687070040.30,689998
,CGCL,EQ,        98.35,                  9786178.90,100571
,CGPOWER,EQ,        59.25,                147459329.35,2473317
,CHAMBLFERT,EQ,       147.55,                 47647135.15,321875
,CHEMFAB,EQ,       166.85,                   748310.20,4431
,CHENNPETRO,EQ,       305.50,                148565983.20,480442
,CHOLAFIN,EQ,      1458.40,                257843760.55,175797
,CHROMATIC,BE,         1.25,                    84172.55,67294
,CIGNITITEC,EQ,       397.20,                  6394857.20,16230
,CIMMCO,EQ,        67.60,                   189671.40,2803
,CINELINE,EQ,        53.75,                  2617737.40,48728
,CINEVISTA,BE,         7.20,                    25593.80,3454
,CLEDUCATE,EQ,       140.35,                   539663.00,3829
,CLNINDIA,EQ,       492.45,                 26888718.00,55649
,CMICABLES,EQ,       181.85,                 18470992.90,101638
,CMMIPL,SM,        31.00,                   367950.00,12000
,CNOVAPETRO,BE,        27.70,                    75086.05,2720
,COCHINSHIP,EQ,       428.10,                 38962316.75,90423
,COFFEEDAY,EQ,       246.05,                 12332752.15,49697
,COMPINFO,EQ,        33.75,                   366392.15,10742
,COMPUSOFT,EQ,        12.00,                   243494.75,20360
,CONSOFINVT,EQ,        57.55,                   103496.55,1793
,CONTROLPR,EQ,       382.20,                  1523392.50,3943
