,21-Aug-2018
The Nifty witnessed an intraday movement of about 42.15 points.The closing index was 0.17 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33006.87
, Traded Quantity (in Lakhs), 15501.98
, Number of Trades, 11419479
, Total Market Capitalisation (Rs. Crores), 15490887.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AUTOLITIND,EQ,        56.45,                   341604.95,6083
,AVADHSUGAR,EQ,       349.60,                  7040175.85,20001
,AVANTIFEED,EQ,       449.35,                146229924.20,323420
,AVONMPL,SM,        58.95,                   453800.00,8000
,AVSL,SM,        35.00,                   201000.00,6000
,AVTNPL,EQ,        31.75,                  1945729.80,61476
,AXISCADES,EQ,       103.60,                  7148900.25,68057
,AXISGOLD,EQ,      2617.70,                   133975.35,51
,AXISNIFTY,EQ,      1168.01,                   100486.03,86
,AYMSYNTEX,EQ,        39.45,                   999691.35,25166
,BAFNAPHARM,EQ,        21.00,                   347569.55,16458
,BAGFILMS,EQ,         7.70,                 19942579.25,2639016
,BAJAJCORP,EQ,       416.00,                  4704053.55,11275
,BAJAJELEC,EQ,       543.95,                132031091.95,242162
,BAJAJHIND,EQ,         6.55,                  4426790.70,670186
,BAJAJHLDNG,EQ,      3024.00,                 30724974.85,10182
,BALAJITELE,EQ,       107.45,                 10275402.75,94276
,BALAMINES,EQ,       554.45,                  9012900.50,16395
,BALAXI,BE,        30.10,                    20802.80,706
,BALKRISHNA,EQ,        69.35,                   990693.70,14181
,BALKRISIND,EQ,      1344.75,                742283397.25,549076
,BALLARPUR,EQ,        10.25,                  6651800.80,648935
,BALMLAWRIE,EQ,       219.80,                 23742042.75,107873
,BALPHARMA,EQ,        89.60,                 12407716.60,136522
,BALRAMCHIN,EQ,        71.85,                140468780.30,1942098
,BANARBEADS,EQ,        49.60,                    58208.70,1180
,BANARISUG,EQ,      1400.30,                   113949.70,81
,BANCOINDIA,EQ,       227.85,                 26081338.55,115767
,BANDHANBNK,EQ,       685.05,                404384619.30,589147
,BANG,EQ,        49.85,                   968353.80,19245
,BANKBEES,EQ,      2882.62,                 91305726.66,31708
,BANKINDIA,EQ,        95.95,                599224151.35,6258726
,BANSAL,SM,       115.00,                  9601500.00,84000
,BANSWRAS,EQ,        85.45,                    35511.45,418
,BARTRONICS,EQ,         9.30,                   137199.65,14914
,BASF,EQ,      1950.60,                 13138070.45,6714
