,07-Aug-2018
The Nifty witnessed an intraday movement of about 69.25 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32458.52
, Traded Quantity (in Lakhs), 16438.35
, Number of Trades, 11324083
, Total Market Capitalisation (Rs. Crores), 15276755.06

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BANSWRAS,EQ,        90.15,                   480311.20,5234
,BARTRONICS,EQ,         9.80,                   174256.35,17626
,BASF,EQ,      2029.00,                101867186.65,49346
,BASML,EQ,       235.00,                   111496.95,477
,BATAINDIA,EQ,       958.90,               1634017146.65,1717090
,BAYERCROP,EQ,      4308.05,                 49987227.15,11551
,BBL,EQ,      1187.45,                 15995630.85,13288
,BBTC,EQ,      1544.35,                212716078.30,135965
,BCONCEPTS,SM,        37.00,                   222000.00,6000
,BDL,EQ,       370.85,                 11346162.90,30230
,BEARDSELL,EQ,        38.85,                   114430.15,2983
,BEDMUTHA,EQ,        23.65,                  1129929.55,47951
,BEML,EQ,       868.60,               1092751169.50,1238842
,BEPL,EQ,       141.95,                 59043488.50,414361
,BERGEPAINT,EQ,       315.00,                264295678.90,841814
,BETA,SM,       102.00,                   737600.00,7200
,BFINVEST,EQ,       250.55,                 28155908.25,111607
,BFUTILITIE,EQ,       326.70,                 95604851.85,290151
,BGLOBAL,BE,         2.80,                    37657.20,13449
,BGRENERGY,EQ,        89.60,                  7621182.95,84682
,BHAGERIA,EQ,       312.60,                 14027554.05,44374
,BHAGYANGR,BE,        39.05,                   844344.00,21544
,BHAGYAPROP,EQ,        25.40,                   163769.50,6467
,BHANDARI,EQ,         2.45,                   678314.75,274150
,BHARATFIN,EQ,      1202.55,               1028099468.90,854273
,BHARATFORG,EQ,       638.05,                506016909.40,790335
,BHARATGEAR,EQ,       177.20,                 12401098.95,69237
,BHARATIDIL,BZ,         3.40,                    16949.95,4878
,BHARATRAS,EQ,      7797.55,                 20679910.95,2670
,BHARATWIRE,EQ,        94.10,                  4401470.90,46924
,BHUSANSTL,EQ,        30.25,                148238653.50,4697575
,BIGBLOC,EQ,        93.80,                  1137013.50,12117
,BIL,EQ,       417.25,                  3187845.05,7550
,BILENERGY,BE,          .55,                    33986.45,65172
,BILPOWER,BE,          .75,                     2952.25,3939
,BINANIIND,EQ,        87.55,                  4768256.10,53830
,BINDALAGRO,EQ,        21.80,                   564221.40,25788
,BIOCON,EQ,       574.15,                741049643.45,1291375
,BIOFILCHEM,BE,        10.45,                    74427.45,7209
,BIRLACABLE,EQ,       118.55,                 50896753.00,438372
,BIRLACORPN,EQ,       793.20,                 87503292.75,109905
,BIRLAMONEY,EQ,        62.85,                 33156089.95,538117
,BKMINDST,EQ,        20.00,                   225577.55,11045
,BLBLIMITED,EQ,         4.95,                    72476.40,14091
,BLISSGVS,EQ,       170.50,                 11698535.40,67951
,BLKASHYAP,EQ,        32.45,                  2407145.20,73849
,BLS,EQ,       181.75,                 34873954.65,192122
,BLUEBLENDS,EQ,         7.95,                   107608.35,13725
,BLUECOAST,EQ,        85.75,                    34214.25,399
,BLUEDART,EQ,      3611.45,                  6947911.40,1926
,BLUEDART,N2,        10.19,                   299248.10,29308
,BLUEDART,N3,        10.21,                   153076.26,15056
,BLUESTARCO,EQ,       686.40,                 15563473.40,22670
,BODALCHEM,EQ,       130.95,                 32466688.90,245866
,BOMDYEING,BE,       261.50,                227200888.05,840024
,BOROSIL,EQ,       365.55,                 74504842.20,201995
,BPL,EQ,        55.90,                 21176163.10,373717
,BRFL,BE,        21.00,                  1072649.60,51217
,BRIGADE,EQ,       192.60,                  3358756.35,17453
,BRIGHT,SM,        50.75,                 11840100.00,222000
,BRNL,EQ,       166.15,                   421984.05,2544
,BROOKS,EQ,        82.85,                  2754044.25,33177
,BSE,EQ,       798.35,                 81265455.80,101519
,BSELINFRA,EQ,         3.05,                    94466.40,31467
,BSHSL,SM,       122.25,                   486500.00,4000
,BSL,EQ,        66.75,                  1133298.60,16831
,BSLGOLDETF,EQ,      2742.95,                    90696.00,33
,BSLNIFTY,EQ,       113.87,                    40620.43,356
,BURNPUR,EQ,         6.50,                  1658726.75,256763
,BUTTERFLY,BE,       352.65,                  1666379.20,4693
,BVCL,BE,        19.50,                   143051.45,7374
,BYKE,EQ,       119.10,                  3672494.30,30831
,CADSYS,SM,        61.00,                   246800.00,4000
,CALSOFT,BE,        36.40,                  1578713.70,44819
,CAMLINFINE,EQ,        86.55,                 15722595.85,180785
,CANBK,EQ,       288.90,               1659397192.85,5707814
,CANDC,EQ,        30.90,                  1494130.75,48139
,CANFINHOME,EQ,       330.10,                168788164.65,509705
,CANTABIL,EQ,       117.50,                  4012870.15,34357
,CAPACITE,EQ,       283.50,                 19542327.15,68624
,CAPF,EQ,       559.80,                264768448.10,469589
,CAPLIPOINT,EQ,       408.05,                 98694769.45,238197
,CAPTRUST,EQ,       409.80,                   466115.60,1129
,CARBORUNIV,EQ,       354.30,                 70268399.85,196040
,CAREERP,EQ,       103.30,                  1928423.85,18561
,CARERATING,EQ,      1301.35,                 28511372.50,21870
,CASTEXTECH,EQ,         1.70,                  1535522.25,890231
,CASTROLIND,EQ,       160.60,                205554820.20,1276616
,CCCL,EQ,         2.90,                   559087.40,190294
,CCHHL,EQ,         9.45,                   689165.30,73705
,CCL,EQ,       260.10,                 12497355.45,47725
,CDSL,EQ,       269.90,                 80052807.40,295670
,CEATLTD,EQ,      1405.10,                730676118.70,525112
,CEBBCO,EQ,        13.05,                   185564.00,14161
,CELEBRITY,EQ,        13.85,                   276135.10,19934
,CELESTIAL,EQ,        13.80,                   928416.45,67137
,CENTENKA,EQ,       288.40,                 18487950.80,63664
,CENTEXT,EQ,         6.05,                   439896.40,73441
,CENTRALBK,EQ,        68.65,                 11937691.75,173316
,CENTRUM,EQ,        56.20,                  3822431.05,67439
,CENTUM,EQ,       391.45,                  2031930.00,5166
,CENTURYPLY,EQ,       242.25,                 32860127.80,134883
,CENTURYTEX,EQ,       903.55,               1038047255.00,1131004
,CERA,EQ,      3098.95,                 50157141.00,16299
,CEREBRAINT,EQ,        58.70,                 84252428.10,1383285
,CES1RPG,MF,         9.20,                   202464.51,22001
,CESC,EQ,       938.25,                320369840.50,340927
,CGCL,EQ,        85.30,                  1530746.30,17999
,CGPOWER,EQ,        59.10,                489720107.85,8091382
,CHAMBLFERT,EQ,       141.95,                 27330016.25,191695
,CHEMFAB,EQ,       175.10,                   923433.75,5270
,CHENNPETRO,EQ,       330.40,                506270990.10,1546391
,CHOLAFIN,EQ,      1438.00,                571936757.35,397140
,CHROMATIC,EQ,         1.35,                   305026.15,221354
,CIGNITITEC,EQ,       435.20,                  8237374.10,18932
,CIMMCO,EQ,        72.35,                  2062545.25,28629
,CINELINE,EQ,        55.90,                   746023.70,13266
,CINEVISTA,BE,         8.15,                    46659.45,6043
,CLEDUCATE,EQ,       170.10,                  1378230.45,7814
,CLNINDIA,EQ,       410.25,                  3069476.35,7499
,CMICABLES,EQ,       223.40,                  3453237.25,15401
,CMMIPL,SM,        33.50,                   408150.00,12000
,CNOVAPETRO,EQ,        28.50,                   155315.75,5335
,COCHINSHIP,EQ,       455.30,                 44412554.55,97795
,COFFEEDAY,EQ,       265.95,                 31034258.10,117462
,COMPINFO,EQ,        37.40,                  2119099.35,55795
,COMPUSOFT,EQ,        12.25,                   307858.80,25145
,CONSOFINVT,EQ,        59.10,                    65236.15,1130
,CONTROLPR,EQ,       413.85,                  3304868.15,7963
,CORALFINAC,EQ,        22.40,                  1308874.40,58622
,CORDSCABLE,EQ,        81.65,                  2397560.15,29286
,COROMANDEL,EQ,       426.15,                162092898.30,381469
,CORPBANK,EQ,        27.40,                  5297459.50,193070
,COSMOFILMS,EQ,       259.15,                  7230864.30,27526
,COUNCODOS,EQ,         2.40,                     2203.80,936
,COX&KINGS,EQ,       221.75,                 12449647.25,56115
,CPSEETF,EQ,        27.31,                 12940049.51,471321
,CREATIVEYE,EQ,         3.05,                     1525.00,500
,CREST,EQ,       149.65,                   639337.15,4237
,CRISIL,EQ,      1757.15,                 22459530.30,12780
,CRMFGETF,EQ,      2900.00,                   160785.00,56
,CROMPTON,EQ,       260.60,                467603422.70,1785811
,CTE,EQ,        52.60,                   322072.00,6133
,CUB,EQ,       173.95,                162413353.75,935748
,CUBEXTUB,BE,        15.45,                    64399.30,4523
,CUPID,EQ,       211.35,                  8452638.55,38846
,CURATECH,BE,         3.60,                     4352.40,1209
,CYBERMEDIA,EQ,         8.00,                       96.00,12
,CYBERTECH,EQ,        46.75,                   533830.00,11334
,CYIENT,EQ,       671.80,                 76239695.85,112455
,DAAWAT,EQ,        65.95,                176305787.65,2665339
,DALMIABHA,EQ,      2636.90,                272145649.90,102395
,DALMIASUG,EQ,        66.95,                 22689096.10,327430
,DAMODARIND,EQ,       105.00,                   196164.45,1866
,DATAMATICS,EQ,       106.25,                  5034172.65,47316
,DBCORP,EQ,       242.85,                 21409958.65,88966
,DBL,EQ,       866.05,                498306800.05,565892
,DBREALTY,EQ,        33.35,                  6864285.60,204383
,DCAL,EQ,       260.25,                 51735988.90,198002
,DCBBANK,EQ,       165.40,                175550405.15,1059280
,DCM,EQ,        89.00,                  1846572.20,20854
,DCMSHRIRAM,EQ,       358.40,                165342063.20,459618
,DCW,EQ,        24.60,                  3251371.45,131101
,DECCANCE,EQ,       459.90,                   472310.40,1025
,DEEPAKFERT,EQ,       276.80,                 20641005.55,74182
,DEEPAKNTR,EQ,       266.15,                133559465.00,505079
,DEEPIND,EQ,       113.55,                 22070475.25,195306
,DELTACORP,EQ,       269.75,               1298351982.75,4788035
,DELTAMAGNT,EQ,        54.55,                    33350.60,579
,DEN,EQ,        47.45,                 22904733.25,486428
,DENABANK,EQ,        16.10,                 23208309.80,1427532
,DENORA,EQ,       349.00,                  1805726.00,5174
,DEVIT,SM,        77.00,                   431325.00,6000
,DFMFOODS,EQ,      1222.40,                 25546034.10,20686
,DHAMPURSUG,EQ,        93.55,                 57154757.95,589101
