,29-Aug-2018
The Nifty witnessed an intraday movement of about 74.35 points.The closing index was 0.4 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35363.26
, Traded Quantity (in Lakhs), 16351.38
, Number of Trades, 11701834
, Total Market Capitalisation (Rs. Crores), 15675926.95

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CAMLINFINE,EQ,        60.80,                644298155.95,10234193
,CANBK,EQ,       282.05,               1940771105.20,6900063
,CANDC,EQ,        29.65,                  6126733.85,206314
,CANFINHOME,EQ,       318.15,                203125948.30,636032
,CANTABIL,EQ,       140.00,                  6234591.00,44653
,CAPACITE,EQ,       264.15,                 17945260.65,67513
,CAPF,EQ,       648.90,                617827756.75,952939
,CAPLIPOINT,EQ,       441.25,                 16851644.25,38078
,CAPTRUST,EQ,       365.05,                  1056517.25,2875
,CARBORUNIV,EQ,       374.45,                 18555285.15,49395
,CAREERP,EQ,        86.10,                  1543411.75,17851
,CARERATING,EQ,      1310.00,                 57440270.10,43544
,CASTEXTECH,EQ,         1.20,                  1148949.75,992182
,CASTROLIND,EQ,       159.25,                172100879.85,1082208
,CCCL,EQ,         2.95,                  2429558.35,817867
,CCHHL,EQ,         9.00,                   909868.55,100470
,CCL,EQ,       268.00,                  9283021.70,34532
,CDSL,EQ,       265.55,                 48468154.30,182328
,CEATLTD,EQ,      1417.30,                366619824.70,258669
,CEBBCO,EQ,        12.85,                   245623.05,18962
,CELEBRITY,EQ,        11.55,                   375303.95,32959
,CELESTIAL,EQ,        15.05,                  1821274.90,118400
,CENTENKA,EQ,       293.40,                 16231679.25,54704
,CENTEXT,EQ,         7.15,                  2848834.30,401314
,CENTRALBK,EQ,        68.35,                  6921222.85,100975
,CENTRUM,EQ,        51.20,                  5672098.40,111003
,CENTUM,EQ,       367.90,                   113432.90,308
,CENTURYPLY,EQ,       224.95,                 27601578.60,122430
,CENTURYTEX,EQ,       960.20,               1827134527.10,1902665
,CERA,EQ,      2732.70,                 13264928.10,4840
,CEREBRAINT,EQ,        47.90,                 32741719.20,681124
,CES1RPG,MF,         9.31,                   186200.00,20000
,CESC,EQ,       988.80,                483157084.20,485413
,CGCL,EQ,       113.05,                 52583462.80,457289
,CGPOWER,EQ,        59.10,                116415228.55,1962961
,CHAMBLFERT,EQ,       162.65,                216530301.25,1348417
,CHEMFAB,EQ,       162.65,                   718058.85,4382
,CHENNPETRO,EQ,       310.25,                241631576.35,775340
,CHOLAFIN,EQ,      1447.75,                272967289.60,187403
,CHROMATIC,BE,         1.25,                    76371.70,63411
,CIGNITITEC,EQ,       410.85,                 18628249.15,45521
,CIMMCO,EQ,        67.95,                   525536.40,7671
,CINELINE,EQ,        53.60,                   419429.35,7768
,CINEVISTA,BE,         7.40,                   112492.45,15477
,CLEDUCATE,EQ,       140.35,                   485125.55,3442
,CLNINDIA,EQ,       486.85,                  7598139.80,15328
,CMICABLES,EQ,       178.05,                  4544684.80,25471
,CMMIPL,SM,        26.60,                    79800.00,3000
,CNOVAPETRO,BE,        27.75,                     3703.50,133
,COCHINSHIP,EQ,       424.95,                 44659448.05,104904
,COFFEEDAY,EQ,       266.10,                145196143.30,537100
,COMPINFO,EQ,        33.10,                   791611.80,23785
,COMPUSOFT,EQ,        12.30,                   356374.55,28992
,CONSOFINVT,EQ,        60.00,                   122886.30,2084
,CONTROLPR,EQ,       382.30,                   586822.55,1528
,CORALFINAC,EQ,        22.05,                   547143.10,24850
,CORDSCABLE,EQ,        74.20,                  1278221.40,17145
,COROMANDEL,EQ,       421.15,                 22949011.25,53931
,CORPBANK,EQ,        27.00,                  3891744.15,143922
,COSMOFILMS,EQ,       251.20,                  1565756.50,6233
,COUNCODOS,EQ,         2.35,                    22013.40,8929
,COX&KINGS,EQ,       220.00,                  9697349.10,43966
,CPSEETF,EQ,        27.56,                 25361502.00,922274
,CREATIVEYE,EQ,         2.75,                     1100.00,400
,CREDITACC,EQ,       392.75,                 84361720.15,212493
,CREST,EQ,       147.80,                  1506185.30,9965
,CRISIL,EQ,      1736.80,                 63641487.05,35881
,CRMFGETF,EQ,      2890.00,                     2890.00,1
,CROMPTON,EQ,       249.15,                 90324405.50,363954
,CTE,EQ,        53.20,                   503201.05,9436
,CUB,EQ,       200.90,                313099818.60,1571672
,CUBEXTUB,EQ,        15.20,                    16184.15,1104
,CUPID,EQ,       222.95,                  7133715.95,31801
,CURATECH,BE,         3.50,                       31.50,9
,CYBERMEDIA,EQ,         8.95,                       44.75,5
,CYBERTECH,EQ,        43.05,                   516550.85,11864
,CYIENT,EQ,       715.50,                 39397864.10,55001
,DAAWAT,EQ,        55.70,                 29102651.00,519934
,DALMIABHA,EQ,      2619.40,                605171012.10,225817
,DALMIASUG,EQ,        62.65,                  1956177.40,31307
,DAMODARIND,EQ,       102.40,                   102145.35,1000
,DATAMATICS,EQ,       133.05,                 80043266.95,601760
,DBCORP,EQ,       232.40,                 59319066.45,254487
,DBL,EQ,       796.65,                149511703.40,187510
,DBREALTY,EQ,        29.55,                 79932092.50,2662633
,DCAL,EQ,       295.00,                 77670511.05,262723
,DCBBANK,EQ,       174.00,                177203983.30,1009704
,DCM,EQ,        87.00,                  2649294.70,30363
