,06-Aug-2018
The Nifty witnessed an intraday movement of about 57.05 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32611.57
, Traded Quantity (in Lakhs), 14764.46
, Number of Trades, 10694402
, Total Market Capitalisation (Rs. Crores), 15306433.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BAYERCROP,EQ,      4457.75,                 56182785.40,12870
,BBL,EQ,      1178.55,                  8865754.75,7509
,BBTC,EQ,      1579.60,                340487067.45,212699
,BDL,EQ,       374.35,                 16641620.35,44178
,BEARDSELL,EQ,        38.40,                   248676.40,6479
,BEDMUTHA,EQ,        21.70,                   549536.10,25384
,BEML,EQ,       909.10,                644863570.15,706320
,BEPL,EQ,       143.60,                 87386832.10,592679
,BERGEPAINT,EQ,       309.70,                443905235.15,1418236
,BETA,SM,       100.05,                   320880.00,3200
,BFINVEST,EQ,       255.25,                 88846357.65,342835
,BFUTILITIE,EQ,       333.25,                185680029.35,554179
,BGLOBAL,BE,         2.70,                     8139.00,3020
,BGRENERGY,EQ,        90.75,                  7021824.70,76867
,BHAGERIA,EQ,       306.10,                  2848777.00,9250
,BHAGYANGR,BE,        40.15,                   799264.75,19676
,BHAGYAPROP,EQ,        24.15,                   130380.90,5424
,BHANDARI,EQ,         2.40,                   651223.80,276173
,BHARATFIN,EQ,      1209.20,                620223525.15,511966
,BHARATFORG,EQ,       647.30,                289107177.25,446961
,BHARATGEAR,EQ,       182.60,                 23014804.55,122513
,BHARATIDIL,BZ,         3.55,                    27979.55,8204
,BHARATRAS,EQ,      7578.30,                  6627887.45,872
,BHARATWIRE,EQ,        96.45,                   675061.40,6923
,BHUSANSTL,EQ,        31.80,                 42683664.40,1346491
,BIGBLOC,EQ,        91.15,                  2140070.70,23442
,BIL,EQ,       424.95,                  3084125.90,7035
,BILENERGY,BE,          .50,                    28914.40,59297
,BILPOWER,BE,          .75,                     5605.50,7554
,BINANIIND,EQ,        86.65,                  1698396.15,19494
,BINDALAGRO,EQ,        21.75,                  2397414.15,110588
,BIOCON,EQ,       573.55,                628476367.95,1088314
,BIOFILCHEM,BE,        10.70,                   124585.10,11578
,BIRLACABLE,EQ,       107.80,                  3210499.60,29782
,BIRLACORPN,EQ,       783.90,                 28240225.90,35858
,BIRLAMONEY,EQ,        57.15,                  4212596.45,73876
,BKMINDST,EQ,        20.40,                   262382.45,12947
,BLBLIMITED,EQ,         5.20,                    40710.05,7795
,BLISSGVS,EQ,       172.45,                 12790885.30,74478
,BLKASHYAP,EQ,        32.55,                  2196170.85,66775
,BLS,EQ,       176.35,                  7060613.05,40099
,BLUEBLENDS,EQ,         7.95,                   404201.85,51057
,BLUEDART,EQ,      3621.50,                  5174720.30,1420
,BLUEDART,N3,        10.30,                    51510.30,5001
,BLUEDART,N2,        10.20,                   310859.20,30446
,BLUESTARCO,EQ,       695.80,                100411639.80,141906
,BODALCHEM,EQ,       132.60,                 21867039.20,164678
,BOMDYEING,BE,       275.25,                 71976347.55,258903
,BOROSIL,EQ,       383.25,                140719477.50,365371
,BPL,EQ,        60.05,                 37819681.15,638152
,BRFL,BE,        20.80,                  2851466.85,138593
,BRIGADE,EQ,       195.05,                  4392956.35,22444
,BRIGHT,SM,        53.75,                  9380550.00,180000
,BRNL,EQ,       167.20,                 17248182.45,102682
,BROOKS,EQ,        82.45,                  2565677.30,30837
,BSE,EQ,       810.10,                204993563.75,253830
,BSELINFRA,EQ,         2.95,                   302431.45,99866
,BSHSL,SM,       120.10,                  2096300.00,18000
,BSL,EQ,        68.80,                  2249341.55,32502
,BSLGOLDETF,EQ,      2758.40,                    85698.00,31
,BSLIMITED,BZ,          .40,                    69320.40,186658
,BSLNIFTY,EQ,       114.45,                   109055.79,953
,BURNPUR,EQ,         6.20,                  1944435.75,310888
,BUTTERFLY,BE,       370.20,                  3785156.25,9898
,BVCL,BE,        19.50,                    42497.65,2220
,BYKE,EQ,       118.80,                  8020535.65,66686
,CALSOFT,BE,        36.15,                  4769848.55,131847
,CAMLINFINE,EQ,        87.10,                 12612198.25,144703
,CANBK,EQ,       294.45,               2150086469.65,7312185
,CANDC,EQ,        32.50,                  4044227.55,125090
,CANFINHOME,EQ,       333.05,                278103993.05,825602
,CANTABIL,EQ,       116.10,                   228610.60,1958
,CAPACITE,EQ,       286.75,                 20494252.30,70749
,CAPF,EQ,       561.00,                585977684.30,1030965
,CAPLIPOINT,EQ,       453.35,                142772773.45,298382
,CAPTRUST,EQ,       415.45,                  2977175.00,7037
,CARBORUNIV,EQ,       362.50,                 27914481.10,76005
,CAREERP,EQ,       103.90,                  3475457.45,33292
,CARERATING,EQ,      1295.80,                 13846697.80,10711
,CASTEXTECH,EQ,         1.75,                  2359850.75,1405845
,CASTROLIND,EQ,       161.60,                270311471.00,1661843
,CCCL,EQ,         2.95,                   523837.55,175636
,CCHHL,EQ,         9.05,                   296151.65,32790
,CCL,EQ,       261.95,                 10204572.45,38869
,CDSL,EQ,       272.10,                212939247.20,779268
,CEATLTD,EQ,      1380.10,                713154851.20,513430
,CEBBCO,EQ,        13.15,                   334438.75,25182
,CELEBRITY,EQ,        14.00,                   602142.05,43136
,CELESTIAL,EQ,        13.05,                   235871.80,18052
,CENTENKA,EQ,       294.90,                 23287463.15,78530
,CENTEXT,EQ,         6.00,                   767949.55,129922
,CENTRALBK,EQ,        68.95,                 15493083.05,224234
,CENTRUM,EQ,        57.85,                  6111289.45,106501
,CENTUM,EQ,       396.45,                  1003690.20,2514
,CENTURYPLY,EQ,       242.95,                 49133665.60,200202
,CENTURYTEX,EQ,       920.15,               1128349776.10,1222218
,CERA,EQ,      3090.80,                111992930.15,36279
,CEREBRAINT,EQ,        62.50,                 28425916.45,451472
,CES1RPG,MF,         9.28,                   111276.00,12000
,CESC,EQ,       937.35,                201746369.10,214652
,CGCL,EQ,        85.95,                  1721112.25,19660
,CGPOWER,EQ,        61.75,                298087089.30,4808667
,CHAMBLFERT,EQ,       143.75,                 24186515.05,166840
,CHEMFAB,EQ,       173.85,                  1914249.80,11110
,CHENNPETRO,EQ,       321.55,                307264401.75,961511
,CHOLAFIN,EQ,      1431.10,                320375669.15,223781
,CHROMATIC,EQ,         1.30,                   111642.55,86266
,CIGNITITEC,EQ,       436.95,                  6761459.65,15444
,CIMMCO,EQ,        71.50,                  3034639.10,42294
,CINELINE,EQ,        56.70,                  2974827.65,52450
,CINEVISTA,BE,         8.05,                    28814.05,3678
,CLEDUCATE,EQ,       165.00,                   286261.25,1737
,CLNINDIA,EQ,       406.40,                  3437493.60,8471
,CMICABLES,EQ,       223.70,                  7930649.95,35113
,CMMIPL,SM,        34.40,                   408150.00,12000
,CNOVAPETRO,EQ,        29.35,                   585980.75,19586
,COCHINSHIP,EQ,       448.20,                 32056497.35,71508
,COFFEEDAY,EQ,       258.65,                 14994678.20,57766
,COMPINFO,EQ,        37.25,                  4534832.80,117679
,COMPUSOFT,EQ,        12.35,                   394194.55,31994
,CONSOFINVT,EQ,        58.50,                    94510.50,1589
,CONTROLPR,EQ,       414.95,                  4206758.00,10181
,CORALFINAC,EQ,        22.90,                  1113441.80,49866
,CORDSCABLE,EQ,        84.20,                  2017336.90,23603
,COROMANDEL,EQ,       430.70,                 98803867.05,226263
,CORPBANK,EQ,        28.00,                  6283935.80,224828
,COSMOFILMS,EQ,       264.25,                 20559295.25,78799
,COUNCODOS,EQ,         2.30,                    44747.80,19578
,COX&KINGS,EQ,       225.75,                 31696406.15,138695
,CPSEETF,EQ,        27.61,                 21048458.28,760865
,CREATIVEYE,EQ,         2.95,                      295.00,100
,CREST,EQ,       150.85,                   680523.90,4480
,CRISIL,EQ,      1751.45,                  6928476.30,3965
,CRMFGETF,EQ,      2815.00,                     2815.00,1
,CROMPTON,EQ,       258.00,                268545619.20,1052733
,CTE,EQ,        50.10,                   445252.75,8788
,CUB,EQ,       170.40,                 31776320.65,186578
,CUBEXTUB,BE,        14.75,                     1150.50,78
,CUPID,EQ,       220.95,                  8612029.95,38638
,CURATECH,BE,         3.75,                      375.00,100
,CYBERMEDIA,EQ,         8.10,                     8100.00,1000
,CYBERTECH,EQ,        47.40,                  1408987.00,29416
,CYIENT,EQ,       687.15,                169670568.25,247310
,DAAWAT,EQ,        62.85,                 62081633.40,999338
,DALMIABHA,EQ,      2642.90,                120069511.60,45055
,DALMIASUG,EQ,        65.10,                 13772688.80,210220
,DAMODARIND,EQ,       105.75,                   296516.20,2785
,DATAMATICS,EQ,       106.65,                  7125671.05,66576
,DBCORP,EQ,       235.20,                 11508733.45,48942
,DBL,EQ,       893.10,                657074165.85,736620
,DBREALTY,EQ,        33.60,                  9461606.00,280288
,DCAL,EQ,       255.95,                 88631593.25,348506
,DCBBANK,EQ,       167.85,                378128932.25,2269751
,DCM,EQ,        87.95,                  1813495.35,20340
,DCMFINSERV,EQ,         2.20,                     1320.00,600
,DCMSHRIRAM,EQ,       352.55,                148579093.60,424424
,DCW,EQ,        24.95,                  4769405.55,192273
,DECCANCE,EQ,       468.50,                 13950186.30,30566
,DEEPAKFERT,EQ,       275.70,                 41136254.95,146815
,DEEPAKNTR,EQ,       250.45,                 92907052.00,377076
,DEEPIND,EQ,       108.65,                  9535153.00,87562
,DELTACORP,EQ,       262.55,               1093445605.35,4183630
,DELTAMAGNT,EQ,        57.35,                     7112.45,124
,DEN,EQ,        46.25,                 15581330.10,332798
,DENABANK,EQ,        16.60,                116442974.80,6977925
,DENORA,EQ,       332.40,                  7363718.40,21891
,DFMFOODS,EQ,      1205.30,                  7380701.65,5934
,DHAMPURSUG,EQ,        95.75,                 49975362.80,521726
,DHANBANK,EQ,        17.25,                 12373596.85,713620
,DHANUKA,EQ,       605.00,                 19616067.20,33188
